Title,Primary Subject,Secondary Subjects,URL,URL 2,Description,Online Accessibility,Language
"ARCHIVE OF NORTH INDIAN CLASSICAL MUSIC, JADAVPUR UNIVERSITY  ",Classical (Hindustani),Northern India, https://sites.google.com/view/anicm-ju/home?authuser=0  ,,"The Archive of North Indian Classical Music (ANICM) was set up at the School of Cultural Texts and Records, Jadavpur University, in early 2004 by Prof. Amlan Das Gupta. The work has been funded by two successive Major Project Grants from the Endangered Archives Programme of the British Library along with funding under the Documentation of Rare Texts Programme instituted by the University Grants Commission (UGC). Over the last 15 years, the archive has grown substantially, and at present contains about 8000 plus hours of recorded music in digital form as well as a substantial corpus of music on loan, awaiting digitization. The archive houses music recorded commercially as well as covers and private recordings more than a hundred years old. It is thus one of the largest repositories of Hindustani classical music in the country, especially rich in the genres of traditional music available across a large variety of carriers—from wax-cylinders, 78 rpm records to reel-to-reel magnetic spool tapes etc.",Catalogue only,EN
SMITHSONIAN ONLINE VIRTUAL ARCHIVES,Recorded Music,Music Industry,https://sova.si.edu/search?q=music&f=topic%3AMusic ,,"The Smithsonian Online Virtual Archives provides integrated access to descriptions and detailed inventories of thousands of primary resource collections maintained by archival units across the Smithsonian. Discover archival collections related by topic and/or by names of persons, families, businesses, and organizations regardless of where the collection lives within the incredibly vast resources of the Smithsonian. Explore digital content from archival collections, such as letters, manuscripts, diaries and journals, ledgers and stock books, photographs, scrapbooks, sketchbooks and drawings, technical drawings and blueprints, field notebooks, log books, rare printed materials, sound recordings, videos, and much more. ",Catalogue only,EN
SMITHSONIAN MUSIC,Recorded Music,,https://music.si.edu/ ,,"The Smithsonian’s combined musical resources constitute the world’s largest museum of music. Music is an integral part of the Smithsonian’s connective tissue, spanning a remarkable number and diversity of collections, programs, and exhibitions. 
This website aggregates access to various digital music-related resources from the Smithsonian including videos, articles, and learning resources. ",Full,EN
SMITHSONIAN FOLKWAYS MAGAZINE ,Music Publications,"Folk, Recorded Music",https://folkways.si.edu/magazine ,,"Smithsonian Folkways Recordings is the nonprofit record label of the Smithsonian Institution, the national museum of the United States, dedicated to supporting cultural diversity and increased understanding among peoples through the documentation, preservation, and dissemination of sound. 
Among its initiatives is the Folkways Magazine, which features articles and spotlights as well as digital-only video and audio content. The website currently holds archives for the magazine going back to 2009. ",,EN
CHICAGO HOUSE MUSIC ORAL HISTORY PROJECT ,Electronic Music,House,https://digitalcommons.colum.edu/house/ ,,"A collection of oral history interviews captured by Dr. Micah Salkind for his book Do You Remember House? Chicago’s Queer of Color Underground and available within the Center for Black Music Research at Chicago’s Columbia University. 

Currently, the audio files and biographical information are available; transcripts will be added when complete.",Full,EN
BLACK MUSIC RESEARCH NEWSLETTER ,Music Publications,Black Music,https://digitalcommons.colum.edu/cbmrnews/ ,,"Dr. Samuel A. Floyd, Jr. established the Black Music Research Newsletter in 1977 while at the Project for Research in Black American Music at Southern Illinois University - Carbondale, Illinois, where it was published until summer 1978. The newsletter promoted and encouraged scholarship and culture in black American music and black music worldwide. The primary audience and contributors were from the United States, although several pieces were submitted from around the world. The publication originally held four sections: research news; foundation news; questions and answers; and announcement.  
This archive, part of the Black Music Research Center at Columbia College Chicago includes copies of every issue published between 1977 and 1990.  ",Full,EN
BLOGARIDDIMS,Recorded Music,Music Publications,https://www.weareie.com/2008/04/blogariddims-top-40.html ,,"Blogariddims was a fortnightly inter-blog podcast started in June 2006, “with the aim of showcasing the high level and variety of selecting, mixing and writing talent in the small corner of the music blogosphere inhabited by nuumskulls, faded-junglists, genre-nerds and bass addicts of every stripe.” 

The series was “overseen” by Weareie and Paul Autonomic and ran until 2008 when it ended at the 50th episode. Contributors included journalists, DJs, producers, and bloggers such as Wayne Marshall, The Heatwave, John Eden, Grievous Angel, Dan Hancox and Bok Bok, and Zhao covering everything from the genealogy of Crunk to the evolution of UK MCs via Norwegian post-punk, late 2000s grime, ragga, baile funk and much more. 

The entire series is archived in a blog post that includes links to the written accompaniment for every entry. Each episode can be downloaded directly via Feedburner. ",Full,EN
IRISH PIRATE RADIO AUDIO ARCHIVE,Location (Ireland),Pirate Radio,https://pirate.ie/ ,,"A free and open archive comprising historical recordings and oral history interviews. Many of the oral histories were gathered at an event for radio anoraks and (former) pirates organised on October 20th 2018 at the Ballsbridge Hotel in Dublin.  

The site hosts a growing collection of recordings including bandscans, adverts, and jingles accompanied by images and relevant history as well as an ongoing podcast series. ",Full,EN
DX ARCHIVE ,Music Industry,Radio,http://dxarchive.com/index.html ,,"An ever expanding archive of material and memories from radio dx-ers interested in preserving free radio material. Founded in 1996, the DX archive began with a focus on the Irish pirates of the 70s and 80s before expanding to cover stations from around the world. 

The site includes indexes of radio stations with detailed histories including text, promotional materials, photographs, and audio downloads. ",Full,EN
THE LIST,Location (Scotland) ,Arts & Entertainment,https://archive.list.co.uk/ ,,"The List is a Scottish arts and entertainment magazine founded in 1985. The magazine encompasses a broad scope of arts and culture coverage outside of music including special issues dedicated to Scottish festivals, Edinburgh Festival, and the Eating & Drinking Guide.
The online archive has full issues of every issue of the magazine dating back to the first issue in 1985.",Full,EN
THE BOB DYLAN ARCHIVE,Popular Music,Bob Dylan,http://bobdylanarchive.com/,,"The Bob Dylan Archive is a collection of over 6,000 items representing Bob Dylan’s decades of artistic contribution housed within the University of Tulsa’s Helmerich Center for American Research at Gilcrease Museum. Alongside master recordings of all of Dylan’s music, the archive also has a large collection of notebooks, correspondence, photos, videos, films, session reports, contracts, and more.",None,EN
HOGAN ARCHIVE OF NEW ORLEANS MUSIC AND NEW ORLEANS JAZZ ,Location (New Orleans),"Jazz, Rhytm & Blues, Ragtime",https://library.tulane.edu/locations/tusc/hogan-archive-new-orleans-music-new-orleans-jazz ,,"The Hogan Archive of New Orleans Music and New Orleans Jazz supports the research and study of New Orleans music and culture of the late 19th and 20th centuries forward. Holdings include archival collections, sound recordings, sheet music, photographs, oral histories, and printed materials. The musical cultures of New Orleans represented include, but are not limited to, jazz, ragtime, rhythm and blues, blues, gospel, Creole songs, and other forms of Black American popular music. All materials highlight the culture and communities of the New Orleans region from a music-based perspective, but also comprise multidisciplinary subjects such as American history, ethnic studies, gender studies, architecture, sociology, race and representation, anthropology, cultural studies, marketing, media, and much more. 

Some of the Hogan Archive’s named collections include the Paul Barbarin Collection, Don Marquis Collection, Allison Miner Collection, and Robert Palmer Collection, among several others.",Full,EN
THE JAZZ ARCHIVIST,Music Publications,"Jazz, New Orleans",https://digitallibrary.tulane.edu/islandora/object/tulane%3Ajazzarchivist?sort=fgs_label_ss%20asc&islandora_solr_search_navigation=0 ,,"From 1986-2019, The Jazz Archivist served as a newsletter and non-peer reviewed journal covering jazz and New Orleans music. Published by the William Ransom Hogan Jazz Archive, the publication featured articles and updates written by Hogan Archive staff, as well as independent researchers and scholars.
This archive includes digital copies of every issue. ",Full,EN
SOUTH AFRICAN MUSIC ARCHIVE PROJECT,Location (South Africa),"Folk, Recorded Music",https://samap.ukzn.ac.za/ ,,"Much of South Africa’s music heritage, like that of our political past, is hard to access. Just as people and books were banned and censored, so too was music, sometimes along with the musicians who made it. Much of the material recorded was politically sensitive, or subversive; some of it was never commercially released, and has remained hidden, even forgotten. Troves of local recorded music await identification, digitisation and research. The South African Music Archive Project aims to create an online resource on South African music and associated cultural heritage, so as to promote multidisciplinary research in the field of popular music and culture. 
This site currently contains approximately 13,000 audio samples and associated metadata from 5 music collections alongside additional projects covering folk music from across the African continent alongside found sounds and modern music. ",Full,EN
GLOBAL MUSIC ARCHIVE,"Location (Africa, The Americas)",Popular Music,https://www.globalmusicarchive.org/ ,,"The Global Music Archive is a multimedia archive and resource center for traditional and popular song, music, and dance of Africa and North and South America, with particular emphasis on the African Diaspora. It is a public facility that promotes education in African and American traditional and popular music through its own activities and its support for the activities of others. The Archive is housed within the Anne Potter Wilson Music Library in Vanderbilt University's Blair School of Music. It includes public rooms for the study of materials, and audio and video listening and viewing facilities.

The archive includes a collection of Ugandan popular music cassette tapes, documentaries, audio, bibliographies, and interviews. ",Partial,EN
RADIO TÉLÉVISION GUINÉE SOUND ARCHIVE,Location (Guinea),Orchestral Music,https://www.radioafrica.com.au/RTG_catalogue.html ,,"The Radio Télévision Guinée (RTG) sound archive in Conakry, Guinea, was archived and digitized between 2008 and 2013 by Radio Africa’s Graeme Counsel. The physical archive consisted of thousands of audio reels on 1/4"" magnetic tape, u-Matic videos and 24mm film which have been catalogued and are available online via the British Library’s Sound And Moving Image Catalogue. The physical collection is also available at the Bibliothèque National de Guinée in Conakry. 
9,410 songs were archived, spanning the years from 1960 to 2000, with the bulk recorded between 1967 to 1984 at the height of Guinea's Cultural Revolution. The archive is essentially divided into two sections: The Syliphone vinyl discography (songs commencing with the catalogue entry ""Syliphone1"", e.g. Syliphone1-003-01) and music recorded on 1/4"" magnetic tapes which were, in the main, potential Syliphone releases. These songs commence with the catalogue entry Syliphone2, Syliphone3 and Syliphone4 (e.g. Syliphone3-143-02).",Full,EN
HISPANO MUSIC AND CULTURE OF THE NORTHERN RIO GRANDE: THE JUAN B. RAEL COLLECTION ,"Location (New Mexico, Colorado)",Folk,https://www.loc.gov/collections/hispano-music-and-culture-from-the-northern-rio-grande/about-this-collection/ ,,"Hispano Music and Culture of the Northern Rio Grande: The Juan B. Rael Collection is an online presentation of an ethnographic field collection documenting religious and secular music of Spanish-speaking residents of rural Northern New Mexico and Southern Colorado. In 1940, Juan Bautista Rael of Stanford University, a native of Arroyo Hondo, New Mexico, used disc recording equipment supplied by the Archive of American Folk Song (American Folklife Center archive) to document alabados (hymns), folk drama, wedding songs, and dance tunes. The recordings included in the collection were made in Alamosa, Manassa, and Antonito, Colorado, and in Cerro and Arroyo Hondo, New Mexico. In addition to these recordings, the collection includes manuscript materials and publications authored by Rael which provide insight into the rich musical heritage and cultural traditions of this region. ",Full,EN
MARS FM,Music Industry,"Radio, Dance Music, Rock",http://www.freddysnakeskin.com/marsfm/ ,,"Launched in 1991, MARS-FM combined two existing stations that broadcast to the Greater Los Angeles / Orange County Metropolitan Area. Nicknamed the “New Music Invasion” it was notable for its blend of dance music, alternative, pop, and rock. 

This small online archive was launched to celebrate the station’s 25th anniversary and includes details of the various hosts and staff, programming schedule, and a selection of recordings. ",Full,EN
SOUL STRUT ARCHIVE ,Recorded Music,,https://www.soulstrut.com/Archive/,,An archival page on the Soul Strut website cataloguing “Hand picked records important to the history of Soul Strut.” Each entry features artwork and a small explanation of the record. ,Full,EN
AFRICAN MUSIC ARCHIVES,Location (Africa),Recorded Music,https://www.blogs.uni-mainz.de/fb07-ifeas-ama-eng/  ,,"Established in 1991 the African Music Archive contains a unique collection of modern African music on records of various formats (shellac and vinyl records, audio and video cassettes, CDs and DVDs). The archive currently holds around 15,000 sound recordings, some of which date back to the 1940s. The archive hosts music from almost all African countries and in particular Ethiopia, Ghana, Cameroon, Congo, Kenya, Nigeria and Tanzania are well represented. In addition, the collection contains more or less representative holdings from almost all countries of Africa, which is still being built up through regular acquisitions. Several thousand newspaper clippings are kept in the clipping collection, which is sorted by country, musical style and musician. The articles, reports, interviews, record reviews, etc. offer a large pool of background material that can be consulted on site. Beyond its academic work, the AMA sees itself as an institution that wants to make information on African music accessible to a broader public.

The physical archive is located at the Johannes Gutenberg-Universität Mainz in Germany.",Catalogue,EN
INTERNATIONAL LIBRARY OF AFRICAN MUSIC ,Location (Africa),,https://www.ru.ac.za/ilam/ ,,"A research institution devoted to the study of music and oral arts in Africa, ILAM preserves thousands of historical recordings going back to 1929 and supports contemporary fieldwork. The majority of its collections are digitised and accessible on its website and include audio, photographs, and publications. Its journal, African Music, is into its seventh decade. ILAM aims to preserve, record, analyse, archive, teach, publish and promote the music of sub-Saharan Africa, with the object of establishing a theory of music making in Africa and assessing the social, cultural, and artistic values of African music. ",Full,EN
BERKLEE COLLEGE OF MUSIC ARCHIVES,Location (Berklee),Jazz,https://archives.berklee.edu/ ,,"The Berklee College of Music Archives documents Berklee's history, activities, and contributions, with additional special collections in jazz and popular music. Areas of emphasis include the Schillinger System of Musical Composition and the history of jazz in Boston. 
The archives include papers, photographs, and recordings as well as oral histories. The digital collections include the McGinley collection on Duke Ellington, oral histories, and all issues of Berklee Today.",Partial,EN
JAMES HAMILTON'S DISCO PAGE,Music Publications,"Disco, Music Industry",https://jameshamiltonsdiscopage.com/  ,,"An archive of James Hamilton’s columns in Record Mirror, from 1975 onwards. The columns were first transcribed by Shootyourshot, from copies of Record Mirror held on microfilm at the New York Public Library, and originally posted on the now defunct forums at discomusic.com.
The Record Mirror disco column began on September 21, 1974. Its disco chart started out with 10 places, and expanded to 20 on December 7. James Hamilton took over the column on June 28, 1975. Copies of the column and chart have been made up to the end of 1990.

All available columns and charts can be read and browsed on this Wordpress blog, setup in chronological order alongside image scans, additional historical information, and chart compilations. ",Full,EN
THE MAP OF WOMEN COMPOSERS,Recorded Music,Women in Music,https://svmusicology.com/mapa/?lang=en ,,"An interactive resource that tries to recover, make visible and give value to the figure of women composers. Created and maintained by musicologist and music teacher Sakira Ventura, the interactive website illustrates the global distribution of female composers worldwide, from the 9th century AD to the present, and lets users search for composers in various ways.",Full,EN
SOUND ARCHIVES OF THE CNRS - MUSÉE DE L’HOMME,Sounds (Found sounds),Recorded Music,https://archives.crem-cnrs.fr/ ,,"These sound archives gather commercial and field recordings of music and oral traditions from around the world, from 1900 to the present, in diverse types of media (wax cylinders, 78 rpm, vinyl records, magnetic tapes, audio CDs, born digital records, vidéo). The Center for Research in Ethnomusicology (CREM) manages and disseminates this constantly growing scientific heritage.  

The number of recordings available online on the platform is constantly increasing. The archives include over 60,000 field recordings and published materials, covering 199 countries and 1,300 social and ethnic groups. About 29,000 recordings are available for free, while the rest require a request for access. The platform’s users fill descriptive forms collaboratively and gradually : researchers, students, archivists working together. The CREM welcomes all collaborations aiming to enrich and enhance this valued musical patrimony. ",Partial,EN
SONG IN THE SUMATRAN HIGHLANDS,Location (Sumatra),Folk,https://songinthesumatranhighlands.com/song-in-the-sumatran-highlands/index ,,"An interactive, interpretative, multimedia digital ethnography and archive that documents and celebrates saluang, a vocal genre from the highlands of West Sumatra, Indonesia. ",Full,EN
AUDIO CULTURE,Location (New Zealand),Recorded Music,https://www.audioculture.co.nz/ ,,"“The noisy library of New Zealand music,” Audio Culture is a repository of interviews, images, audio, and video about New Zealand artists cutting across scenes and genres. The site can be navigated freely or via people, scenes, and labels categories.  ",Full,EN
"INSTITUTO NACIONAL DE MUSICOLOGÍA ""CARLOS VEGA"" ",Location (Argentina),Folk,https://inmcv.cultura.gob.ar/ ,,"The National Institute of Musicology Carlos Vega, located in Buenos Aires, promotes the study of the various musical expressions, past and present, created and practiced in Argentina and other Latin American countries. It features a library, archives, instruments museum and music library. 

El objetivo del Instituto es el estudio de las diversas expresiones musicales, pasadas y presentes, creadas y practicadas en la Argentina y en otros países latinoamericanos. Las funciones del Instituto son la producción de conocimiento musicológico, junto al resguardo y generación de fondos patrimoniales. ","Partial, Catalogue",AR
LATIN AMERICAN ELECTROACOUSTIC MUSIC COLLECTION,Location (LATAM),Electroacoustic Music,https://www.fondation-langlois.org/html/e/page.php?NumPage=556  ,,"Latin American electroacoustic music has a long, interesting, strong and prolific history, but it’s a history that is little known even within the region itself. Many composers born or living in Latin America have been very active in this field, going back as far as some 50 years in some countries, but the availability of electroacoustic music recordings and information in Latin America has been a problem for educators, composers, performers, researchers, students and the general public.

This archive has been developed as a response to this problem and includes historical context, over 500 compositions, biographies, interviews, and graphic materials. ",Full,EN
AFROMIX ,"Location (Africa, The Caribbean)",Recorded Music,https://www.afromix.org/html/musique/index.en.html ,,"An online portal for African and Caribbean Cultures related information, including an extensive discographic database on African and Caribbean music. Nearly 3000 artists and more than 8000 albums referenced, organized by musical styles, country, instruments, labels and years. ",Full,EN
ARCHIVES OF BRAZILIAN SYMPOSIUM ON COMPUTER MUSIC,Electronic Music,Location (Brazil),http://compmus.ime.usp.br/sbcm/ ,,"Online archive containing links to all previous editions of the Brazilian Symposium on Computer Music (SBCM) and access to all digital content made available in each year, including the websites, proceedings, and full papers. ",Full,EN
NATIONAL CULTURAL AUDIOVISUAL ARCHIVES (INDIA),Location (India),"Recorded Music, Audiovisual",https://ncaa.gov.in/repository/  ,,"The National Cultural Audiovisual Archives aims to ensure long-term access to the oral traditions, performing arts, ritual and cultural practices and traditional knowledge systems of India in audiovisual form. It presents unpublished, non-commercial audio-video recordings from governmental and non-governmental institutions across the country in an attempt to provide open access to the cultural heritage of India as enshrined in these recordings.  

The archives feature over 20,000 digitized items including 78rpm, cassettes, CDs, film reels, and more. ",Full,EN
DANCE MUSIC ARCHIVE,Electronic Music,,https://www.dancemusicarchive.com/  ,,"The Dance Music Archive is a multi-platform home to hear, record, read and celebrate the rich history of dance and electronic music. It's a website, a weekly radio programme, and online community, which brings together 30 years of electronic music history through DJ mixes, radio shows, live sets, festival broadcasts, lost tapes, blogs, artwork, magazines and forgotten recordings. 

The website currently features a timeline of dance music with text, audio, and images arranged by year as well as a copy of the MUZIK magazine archive. ",Full,EN
THE PINEWALK COLLECTION,Electronic Music,Disco,https://www.mixcloud.com/pinewalkcollection/ ,,Over 200 recordings of DJ sets from Fire Island Pines & New York City from 1981-1999. These tapes were found in a purchased house on Pine Walk. There are well over 200 tapes in total and they are being carefully digitized and remastered and offered to stream for free on Mixcloud witn permission from all of the living DJs.,Full,EN
LYNN ABBOTT INTERVIEWS,Folk,Gospel,https://digitallibrary.tulane.edu/islandora/object/tulane%3Aabbott ,,"Author and historian Lynn Abbott conducted interviews from 1981 through 1995 documenting the Black acapella gospel quartet singing tradition in New Orleans, Alabama, and Mississippi from the 1920s. Interviewees include local New Orleans and regional gospel singers, performers, ensembles, vocal coaches and educators, several who are also reverends. Interviewees describe the development of their gospel sounds, styles, influences, performances, and formations of quartets. Several interviews spotlight the evolution of gospel quartets and their popularity while touring and recording, including the shift from acapella singing to a ""modern quartet"" with electric guitar, bass, and drum accompaniment. ",Full,EN
LAURRAINE GOREAU INTERVIEWS & ARCHIVE,Popular Music,"Mahalia Jackson, Gospel",https://digitallibrary.tulane.edu/islandora/object/tulane%3Agoreau ,,"The interviews from the Laurraine Goreau collection were recorded by Goreau from 1971 to 1975 during her research into the life of Mahalia Jackson for her 1975 authorized biography of Jackson, Just Mahalia, Baby. The interviews chronicle the life of Mahalia Jackson, the popular New Orleans-born vocalist and civil rights activist known worldwide as the “Queen of Gospel.” The interviews include details about Jackson’s life, including her childhood, marriage, health, singing and music career, religious engagement, political engagement, and accomplishments up until her death in 1972. Interviewees include musicians and singers that worked closely and toured with Jackson, her extended family, members of the religious community, musicians, entertainers, politicians, and activists.",Full,EN
SOUND ARCHIVES OF THE INSTITUTE FOR MUSICOLOGY,Folk,Hungary,https://hungaricana.hu/en/databases/zti/ ,,"The IM Sound Archives contain documents and recordings from the Folk Music Research Group of the Hungarian Academy of Sciences relating to folk music and folk dance as well as recordings on the musical, game and dance traditions of almost fifty cultures from all over the world (mainly Europe, Asia, Oceania, Africa, South America) in the time frame of 1896–2004. ",Full,EN
ARCHIVED MUSIC PRESS,Music Publications,England,https://archivedmusicpress.wordpress.com/ ,,"Blogspot repository of scans from the Melody Maker and NME circa 87-96. Includes categories for reviews, features, and advertisements among others. ",Full,EN
